,id,year,week,avg_sentiment
0,0,2022,37,0.0575671
1,1,2022,36,0.0736509
2,2,2022,44,0.0629761
3,3,2022,35,0.0723067
4,4,2022,39,0.0553505
5,5,2022,34,0.074953
6,6,2022,33,0.055036
7,7,2022,42,0.0587428
8,8,2022,40,0.0605256
9,9,2022,38,0.0544977
10,10,2022,41,0.0559739
11,11,2022,43,0.073663
12,12,2022,52,0.054426
13,13,2022,46,0.0576552
14,14,2022,45,0.0764088
15,15,2022,48,0.0667876
16,16,2022,51,0.0826622
17,17,2022,50,0.0527517
18,18,2022,49,0.0533383
19,19,2022,47,0.0728133
20,20,2023,8,0.0741782
21,21,2023,9,0.0487812
22,22,2023,7,0.0699714
23,23,2023,6,0.0757552
24,24,2023,3,0.0549559
25,25,2023,2,0.0447199
26,26,2023,4,0.0649007
27,27,2023,5,0.0523456
28,28,2023,52,0.122091
29,29,2023,1,0.0733049
30,30,2023,17,-0.00699585
31,31,2023,16,0.0581933
32,32,2023,11,0.0687748
33,33,2023,10,0.0714974
34,34,2023,14,0.0705242
35,35,2023,12,0.0495151
36,36,2023,13,0.060609
37,37,2023,15,0.0507402
